StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[20, 5]",[34],[66],"[20, 3]",[False],[0],"[0.005727945000000019, 0.002685097499999999]",[0.7147972100000002],[0.0011797571182251727],"[0.005217872500000005, 0.005065190000000002]",[0.0],3,0.04477611940298507
"[20, 3]",[34],[69],"[20, 1]",[False],[0],"[0.006237277500000034, 0.0040562025]",[0.685179025],[0.009709224700927764],"[0.002785987500000038, 0.007176747500000006]",[0.0],3,0.3
"[20, 1]",[34],[77],"[19, 0]",[False],[0],"[0.0014023665625000417, 0.004802595937499996]",[0.58139087125],[0.0011123228073119957],"[0.005008937499999975, 0.0005178309375000051]",[0.0],6,0.8571428571428571
"[19, 0]",[34],[74],"[19, 0]",[False],[0],"[0.008797875000000009, 0.00793882]",[0.49742134000000005],[0.004070243835449381],"[0.0014181899999999841, -0.004246664999999997]",[0.0],2,0.043478260869565216
"[0, 12]",[0],[40],"[2, 13]",[False],[0],"[0.0078115100000000215, 0.006672375000000001]",[-0.07741982000000003],[0.009194564819335907],"[0.0006489450000000292, 0.007357879999999985]",[0.0],2,0.06451612903225806
"[16, 12]",[34],[54],"[17, 10]",[False],[0],"[0.007482926249999938, 0.0024294487499999864]",[0.55146934625],[0.00958088397979753],"[0.008349687500000017, 0.008892710000000002]",[0.0],4,0.10810810810810811
"[18, 4]",[34],[67],"[18, 2]",[False],[0],"[0.007102935000000022, 0.0027065100000000022]",[0.72874678],[0.0015035915374756164],"[0.0049776200000000055, 0.004737795000000003]",[0.0],2,0.08333333333333333
"[18, 2]",[34],[67],"[18, 0]",[False],[0],"[0.005388600000000011, 0.002496690000000003]",[0.59629296],[0.0075691032409667385],"[0.0002063799999999956, 0.007839370000000005]",[0.0],1,0.125
"[2, 5]",[13],[67],"[2, 5]",[False],[0],"[0.008463620000000022, 0.001435400000000005]",[0.00154011999999998],[0.004120807647705197],"[0.00898463000000001, 0.006896850000000005]",[0.0],1,0.047619047619047616
"[3, 7]",[10],[62],"[3, 7]",[False],[0],"[0.004284549999999969, 0.0017270300000000096]",[0.00859325499999997],[0.002480154037475351],"[0.008082769999999987, 0.007762175000000015]",[0.0],2,0.06060606060606061
"[5, 9]",[20],[55],"[6, 9]",[False],[0],"[0.0059824999999999896, 0.001463762499999988]",[0.006243722499999972],[0.008798027038574385],"[0.0028084050000000103, 0.0050575974999999915]",[0.0],3,0.1111111111111111
"[6, 9]",[21],[58],"[6, 10]",[False],[0],"[0.0012813000000000373, 0.008857689999999996]",[0.004694809999999982],[0.003433914184570345],"[0.00927892000000002, 0.0022402500000000027]",[0.0],1,0.03125
"[15, 2]",[34],[73],"[14, 2]",[False],[0],"[0.0006547000000000271, 0.008168190000000002]",[0.15016018],[0.008586235046386748],"[0.006974640000000042, 0.004664090000000003]",[0.0],1,0.04
"[7, 15]",[0],[38],"[9, 16]",[False],[0],"[0.006207367812499981, 0.005200001406250007]",[-0.006189121718750079],[0.006503888666629872],"[0.0035142729687499766, 0.004104756562500006]",[0.0],7,0.4375
"[13, 15]",[34],[44],"[14, 15]",[False],[0],"[0.002720494999999991, 0.00504255875]",[0.08792256250000004],[0.009411669373512281],"[0.009423388749999994, 0.003094464374999958]",[0.0],6,0.2222222222222222
"[14, 15]",[34],[45],"[16, 14]",[False],[0],"[0.007995659531249987, 0.002955280156249981]",[0.25468840875000004],[0.0010883063077927208],"[0.004142270468749959, 0.0068381240625000166]",[0.0],7,0.4375
"[16, 14]",[34],[45],"[17, 13]",[False],[0],"[0.0016302368749999963, 0.00545573625000002]",[0.4007547218750001],[0.006254726648330768],"[0.00638216687500002, 0.005686928124999992]",[0.0],5,0.45454545454545453
"[18, 11]",[34],[53],"[19, 9]",[False],[0],"[0.005491725312500018, 0.0007667128906250053]",[0.505749659140625],[0.008218486309051547],"[0.004553360937500027, 0.008372925937499992]",[0.0],8,0.34782608695652173
"[19, 9]",[34],[61],"[20, 7]",[False],[0],"[0.0071146100000000195, 0.00513084499999999]",[0.65888926],[0.001160993576049792],"[0.0034703150000000085, 0.008908610000000016]",[0.0],2,0.06060606060606061
"[20, 6]",[34],[65],"[21, 4]",[False],[0],"[0.009329980000000022, 0.002188199999999998]",[0.64392133],[0.0039344787597656115],"[0.0004348800000000142, 0.006340100000000001]",[0.0],1,0.021739130434782608
"[21, 4]",[34],[68],"[20, 2]",[False],[0],"[0.0009108800000000462, 0.004202230000000001]",[0.7598822550000001],[0.0011479568481446503],"[0.008983379999999992, 0.005455135000000003]",[0.0],2,0.009569377990430622
"[20, 2]",[34],[74],"[20, 1]",[False],[0],"[0.0060795450000000265, 0.008240967500000002]",[0.6041468375000001],[0.006271944046020581],"[0.001805897500000049, 0.003387295000000007]",[0.0],3,0.2727272727272727
"[0, 12]",[0],[39],"[0, 14]",[False],[0],"[-0.02144693111190793, 0.004999908747100816]",[-0.45617006363067625],[0.0019369430645019888],"[-0.00837203737518305, 0.0051541840786743336]",[0.0],17,0.5483870967741935
"[0, 8]",[0],[45],"[1, 10]",[False],[0],"[0.009698750000000034, 0.00963041499999999]",[-0.24744982000000004],[0.006699132919311514],"[0.006836220000000013, 0.004566740000000003]",[0.0],2,0.028169014084507043
"[4, 13]",[0],[43],"[6, 14]",[False],[0],"[0.00831164874999999, 0.003975166249999997]",[-0.22968611937500005],[0.006167138814926183],"[0.0025205800000000465, 0.008467246250000015]",[0.0],5,0.2777777777777778
"[13, 13]",[34],[48],"[15, 12]",[False],[0],"[0.008549290000000044, 0.005559695000000033]",[0.41331979500000005],[0.0008801412582397361],"[0.0017010949999999494, 0.0054767049999999914]",[0.0],3,0.23076923076923078
"[19, 6]",[34],[61],"[19, 4]",[False],[0],"[0.003709124999999978, 0.0031155850000000006]",[0.6110834300000001],[0.001136293411254959],"[0.00500618500000005, 0.008088570000000003]",[0.0],2,0.18181818181818182
"[19, 4]",[34],[64],"[19, 3]",[False],[0],"[0.00500618500000005, 0.008088570000000003]",[0.6597125350000002],[0.0036219215393066273],"[0.0038340800000000157, 0.0018457400000000037]",[0.0],2,0.2222222222222222
"[19, 3]",[34],[64],"[18, 1]",[False],[0],"[0.0017919000000000112, 0.001903200000000006]",[0.64206973],[0.004304752349853502],"[0.008053700000000042, 0.00610135]",[0.0],1,0.125
"[15, 7]",[34],[64],"[15, 5]",[False],[0],"[0.005575769999999999, 0.0003087299999999984]",[0.55184074],[0.0013953781127929998],"[0.008102700000000037, 0.006762740000000005]",[0.0],1,0.023809523809523808
