StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[8, 0]",[34],[79],"[5, 0]",[False],[0],"[0.002614740000000018, -0.09117974]",[0.21603016],[0.11835838317871093],"[0.009751300000000006, -0.09633048000000001]",[0.0]
"[5, 0]",[23],[79],"[3, 0]",[False],[0],"[0.009751300000000006, -0.09633048000000001]",[0.0019191999999999872],[0.11245437622070308],"[0.006495900000000025, -0.09337844]",[0.0]
"[3, 0]",[27],[79],"[1, 0]",[False],[0],"[0.006495900000000025, -0.09337844]",[0.006879619999999987],[0.10879837036132821],"[0.0036527600000000413, -0.09155042000000001]",[0.0]
"[1, 0]",[7],[79],"[0, 0]",[False],[0],"[0.0036527600000000413, -0.09155042000000001]",[0.009812989999999971],[0.09528900146484375],"[-0.008635019999999993, -0.08479578]",[0.0]
"[0, 0]",[0],[79],"[0, 0]",[False],[0],"[-0.008635019999999993, -0.08479578]",[0.0033935499999999674],[0.07795864105224613],"[-0.029740199999999994, -0.07613057999999999]",[0.0]
"[0, 0]",[0],[79],"[0, 0]",[False],[0],"[-0.029740199999999994, -0.07613057999999999]",[-0.15180566000000006],[0.05286842346191411],"[-0.049252099999999965, -0.06358546999999999]",[0.0]
"[0, 0]",[0],[79],"[0, 0]",[False],[0],"[-0.049252099999999965, -0.06358546999999999]",[-0.11748748000000003],[0.029494056701660158],"[-0.06680239999999998, -0.05189831]",[0.0]
"[0, 0]",[0],[78],"[0, 0]",[False],[0],"[-0.06680239999999998, -0.05189831]",[-0.34041308000000003],[0.004973335266113443],"[-0.08218560000000003, -0.03463793999999999]",[0.0]
"[0, 0]",[0],[74],"[0, 0]",[False],[0],"[-0.08218560000000003, -0.03463793999999999]",[-0.36342423],[0.009302196502685576],"[-0.09477642999999997, -0.016802379999999992]",[0.0]
"[0, 0]",[0],[71],"[0, 0]",[False],[0],"[-0.09477642999999997, -0.016802379999999992]",[-0.25651901],[0.008976211547851725],"[-0.10465613999999995, -0.0016393799999999958]",[0.0]
"[4, 0]",[9],[73],"[3, 0]",[False],[0],"[0.007261319999999995, -0.007484269999999994]",[0.00751643999999998],[0.00737583160400398],"[0.00840043000000004, -0.0011721399999999951]",[0.0]
"[3, 0]",[12],[72],"[3, 0]",[False],[0],"[0.00840043000000004, -0.0011721399999999951]",[0.009920959999999972],[0.0063718605041504645],"[0.0005063300000000253, 0.004329850000000003]",[0.0]
"[3, 0]",[0],[70],"[2, 1]",[False],[0],"[0.0005063300000000253, 0.004329850000000003]",[0.00045418999999996545],[0.008894538879394561],"[0.003665199999999997, 0.003068490000000002]",[0.0]
"[2, 1]",[0],[68],"[1, 2]",[False],[0],"[0.003665199999999997, 0.003068490000000002]",[-0.03596824000000004],[0.009596176147460923],"[0.008270800000000031, 0.002717640000000004]",[0.0]
"[1, 2]",[1],[67],"[1, 3]",[False],[0],"[0.008270800000000031, 0.002717640000000004]",[0.0033919999999999593],[0.0027657318115234236],"[0.004354430000000029, 0.0011328600000000012]",[0.0]
"[1, 3]",[0],[65],"[1, 4]",[False],[0],"[0.004354430000000029, 0.0011328600000000012]",[-0.026262140000000045],[0.00395269393920906],"[0.0018373300000000346, 0.0005394300000000005]",[0.0]
"[1, 4]",[0],[63],"[1, 5]",[False],[0],"[0.0018373300000000346, 0.0005394300000000005]",[-0.08074892],[0.0024151992797852764],"[0.000898020000000008, 0.0013082000000000042]",[0.0]
"[1, 5]",[0],[61],"[1, 6]",[False],[0],"[0.000898020000000008, 0.0013082000000000042]",[-0.06360309000000003],[0.0017350578308104898],"[0.0016588000000000245, 0.0016483000000000018]",[0.0]
"[1, 6]",[4],[59],"[1, 6]",[False],[0],"[0.0016588000000000245, 0.0016483000000000018]",[0.0063335799999999845],[0.006551704406738313],"[0.0039273599999999995, 0.009239900000000006]",[0.0]
"[1, 6]",[6],[58],"[1, 7]",[False],[0],"[0.0039273599999999995, 0.009239900000000006]",[0.009677229999999978],[0.0025355529785156573],"[0.007379540000000026, 0.006247980000000005]",[0.0]
"[1, 7]",[2],[56],"[2, 8]",[False],[0],"[0.007379540000000026, 0.006247980000000005]",[0.005458729999999985],[0.006308498382568348],"[0.0020119599999999967, 0.004361600000000007]",[0.0]
"[2, 8]",[16],[55],"[2, 8]",[False],[0],"[0.0020119599999999967, 0.004361600000000007]",[0.006211439999999985],[0.00711908340454096],"[0.0077548000000000235, 0.008956279999999997]",[0.0]
"[2, 8]",[2],[54],"[3, 9]",[False],[0],"[0.0077548000000000235, 0.008956279999999997]",[0.004680759999999968],[0.0008531188964844526],"[0.0044215800000000065, 0.007089220000000002]",[0.0]
"[3, 9]",[20],[53],"[4, 10]",[False],[0],"[0.0044215800000000065, 0.007089220000000002]",[0.00820947999999997],[0.0037635993957518977],"[0.0021449200000000293, 0.0006340299999999972]",[0.0]
"[4, 10]",[13],[52],"[5, 10]",[False],[0],"[0.0021449200000000293, 0.0006340299999999972]",[0.006252669999999962],[0.0030762481689452573],"[0.0005313500000000294, 0.00597758]",[0.0]
"[5, 10]",[30],[52],"[5, 10]",[False],[0],"[0.0005313500000000294, 0.00597758]",[0.004767229999999994],[0.0008146095275878354],"[0.009548099999999992, 0.0071085200000000105]",[0.0]
"[5, 10]",[34],[52],"[6, 10]",[False],[0],"[0.009548099999999992, 0.0071085200000000105]",[0.002906379999999948],[0.00045993804931643983],"[0.008694850000000028, 0.007285790000000004]",[0.0]
"[6, 10]",[34],[52],"[7, 10]",[False],[0],"[0.008694850000000028, 0.007285790000000004]",[0.01161941],[0.0005409049987792416],"[0.007858470000000011, 0.0072453700000000044]",[0.0]
"[7, 10]",[34],[52],"[8, 10]",[False],[0],"[0.007858470000000011, 0.0072453700000000044]",[0.059938740000000004],[0.003037815093994263],"[0.006951160000000026, 0.005996890000000008]",[0.0]
"[8, 10]",[24],[51],"[9, 10]",[False],[0],"[0.006951160000000026, 0.005996890000000008]",[0.009914999999999993],[0.008033599853515703],"[0.0060440900000000245, 0.008498979999999993]",[0.0]
"[9, 10]",[34],[52],"[10, 10]",[False],[0],"[0.0060440900000000245, 0.008498979999999993]",[0.11357033],[0.003212146759033148],"[0.005265820000000008, 0.005909749999999995]",[0.0]
"[10, 10]",[34],[53],"[11, 10]",[False],[0],"[0.005265820000000008, 0.005909749999999995]",[0.15990399],[0.0007072639465333253],"[0.004011550000000015, 0.0021621699999999945]",[0.0]
"[11, 10]",[34],[53],"[12, 9]",[False],[0],"[0.004011550000000015, 0.0021621699999999945]",[0.13550356],[0.00698244094848645],"[0.0021900800000000317, 0.009024460000000007]",[0.0]
"[12, 9]",[34],[54],"[12, 9]",[False],[0],"[0.0021900800000000317, 0.009024460000000007]",[0.24520539],[0.00874277114868163],"[0.00972047000000003, 0.0031444600000000104]",[0.0]
"[12, 9]",[34],[55],"[13, 9]",[False],[0],"[0.00972047000000003, 0.0031444600000000104]",[0.08998561],[0.0027420043945312386],"[0.006516899999999994, 0.0011447300000000053]",[0.0]
"[13, 9]",[34],[56],"[14, 8]",[False],[0],"[0.006516899999999994, 0.0011447300000000053]",[0.25474505999999997],[0.004979267120361272],"[0.002773770000000019, 0.00502619]",[0.0]
"[14, 8]",[34],[57],"[14, 8]",[False],[0],"[0.002773770000000019, 0.00502619]",[0.1836799],[0.003663330078125077],"[0.008146300000000006, 0.0006841100000000017]",[0.0]
"[14, 8]",[34],[58],"[15, 7]",[False],[0],"[0.008146300000000006, 0.0006841100000000017]",[0.24110331000000002],[0.005218429565429675],"[0.0027476500000000095, 0.004906520000000003]",[0.0]
"[15, 7]",[34],[60],"[15, 6]",[False],[0],"[0.0027476500000000095, 0.004906520000000003]",[0.41793988],[0.005615425109863313],"[0.00618875000000004, 0.004708040000000007]",[0.0]
"[15, 6]",[34],[62],"[15, 5]",[False],[0],"[0.00618875000000004, 0.004708040000000007]",[0.31968901],[0.0010998535156251203],"[0.008129120000000009, 0.006965880000000002]",[0.0]
"[15, 5]",[34],[63],"[15, 5]",[False],[0],"[0.008129120000000009, 0.006965880000000002]",[0.28087852],[0.004643840789794953],"[0.008882520000000024, 0.00019383430000000264]",[0.0]
"[15, 4]",[34],[66],"[15, 3]",[False],[0],"[0.008450030000000016, 0.0015026399999999995]",[0.29805136],[0.006428756713867129],"[0.0067063000000000175, 0.00430139]",[0.0]
"[15, 3]",[34],[68],"[15, 2]",[False],[0],"[0.0067063000000000175, 0.00430139]",[0.32702448],[0.002279968261718869],"[0.003771900000000014, 0.006375760000000001]",[0.0]
"[15, 2]",[34],[69],"[14, 1]",[False],[0],"[0.003771900000000014, 0.006375760000000001]",[0.32246049],[0.007902965545654327],"[0.009575430000000006, 0.008564210000000004]",[0.0]
"[14, 1]",[34],[71],"[14, 1]",[False],[0],"[0.009575430000000006, 0.008564210000000004]",[0.27140904],[0.0009734535217286785],"[0.0041972000000000224, 0.0020291000000000007]",[0.0]
"[14, 1]",[34],[72],"[13, 0]",[False],[0],"[0.0041972000000000224, 0.0020291000000000007]",[0.35199113],[0.008073024749755978],"[0.007665770000000018, 0.003479290000000003]",[0.0]
