StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[66, 42]",[138],[91],"[67, 41]",[False],[0],"[0.004905929999999965, 0.0053777399999999954]",[0.004847160000000048],[0.006002559661865371],"[0.00018660000000006276, 0.008256649999999999]",[0.0]
"[67, 41]",[115],[91],"[67, 41]",[False],[0],"[0.00018660000000006276, 0.008256649999999999]",[0.003921230000000107],[0.00869859695434584],"[0.0046357899999999435, 0.0069086399999999885]",[0.0]
"[67, 41]",[126],[92],"[67, 41]",[False],[0],"[0.0046357899999999435, 0.0069086399999999885]",[0.006737909999999996],[0.0070355224609375475],"[0.008718770000000013, 0.00274013000000003]",[0.0]
"[67, 41]",[111],[92],"[68, 41]",[False],[0],"[0.008718770000000013, 0.00274013000000003]",[0.008984200000000072],[0.007984714508056732],"[0.002331940000000067, 0.0022655500000000276]",[0.0]
"[68, 41]",[118],[93],"[68, 41]",[False],[0],"[0.002331940000000067, 0.0022655500000000276]",[0.0039840700000001415],[0.002183933258056688],"[0.0057824, 0.00016592000000000863]",[0.0]
"[68, 41]",[135],[94],"[68, 40]",[False],[0],"[0.0057824, 0.00016592000000000863]",[0.0023388700000000536],[0.004800853729248138],"[0.008672500000000007, 0.0038574799999999826]",[0.0]
"[68, 40]",[121],[95],"[69, 40]",[False],[0],"[0.008672500000000007, 0.0038574799999999826]",[0.007873590000000147],[0.0006945610046387631],"[0.0007324999999999571, 0.0009106299999999817]",[0.0]
"[69, 40]",[103],[94],"[69, 40]",[False],[0],"[0.0007324999999999571, 0.0009106299999999817]",[0.0036409500000000924],[0.00737663269042969],"[0.0025666599999999862, 0.0025696699999999822]",[0.0]
"[69, 40]",[131],[95],"[69, 39]",[False],[0],"[0.0025666599999999862, 0.0025696699999999822]",[0.003024860000000044],[0.008027839660644622],"[0.004293820000000047, 0.007243869999999991]",[0.0]
"[69, 39]",[112],[95],"[69, 39]",[False],[0],"[0.004293820000000047, 0.007243869999999991]",[0.0011235999999999746],[0.009084033966064544],"[0.005424640000000024, 0.006715890000000007]",[0.0]
"[69, 39]",[111],[95],"[69, 39]",[False],[0],"[0.005424640000000024, 0.006715890000000007]",[0.0001534200000000343],[0.009591674804687636],"[0.006485659999999992, 0.0064619799999999835]",[0.0]
