State_Center,Act_Center,Reward_Center,NextState_Center,Done,Cost_Center,Weight,Probability
"[-0.495, -0.055]",[-0.785],[1.195],"[-0.495, -0.03499999999999998]",False,[50.0],1,0.25
"[-0.47500000000000003, 0.08500000000000002]",[-0.6650000000000001],[0.925],"[-0.465, 0.10499999999999998]",False,[50.0],1,0.3333333333333333
"[-0.465, 0.10499999999999998]",[-0.7350000000000001],[0.885],"[-0.445, 0.125]",False,[50.0],1,0.5
"[-0.425, 0.135]",[-0.7350000000000001],[0.785],"[-0.405, 0.15500000000000003]",False,[50.0],2,0.5
"[-0.405, 0.09499999999999997]",[-0.6150000000000001],[0.875],"[-0.395, 0.11499999999999999]",False,[50.0],3,0.16666666666666666
"[-0.29500000000000004, 0.11499999999999999]",[0.745],[0.935],"[-0.275, 0.09499999999999997]",False,[50.0],1,0.25
"[-0.275, 0.09499999999999997]",[0.725],[0.975],"[-0.265, 0.07500000000000001]",False,[50.0],1,0.25
"[-0.265, 0.07500000000000001]",[0.6549999999999999],[0.995],"[-0.245, 0.054999999999999986]",False,[50.0],2,0.2222222222222222
"[-0.235, 0.005]",[0.08499999999999985],[1.195],"[-0.235, -0.005000000000000009]",False,[50.0],50,0.2032520325203252
"[-0.235, -0.005000000000000009]",[0.5949999999999999],[1.175],"[-0.235, -0.025000000000000026]",False,[50.0],1,0.008547008547008548
"[-0.255, -0.07500000000000001]",[0.6649999999999999],[1.305],"[-0.265, -0.08500000000000002]",False,[50.0],1,0.2
"[-0.265, -0.08500000000000002]",[0.6549999999999999],[1.335],"[-0.28500000000000003, -0.10499999999999998]",False,[50.0],1,0.3333333333333333
"[-0.33499999999999996, -0.135]",[0.245],[1.405],"[-0.365, -0.135]",False,[50.0],1,0.16666666666666666
"[-0.525, 0.005]",[-0.8350000000000001],[1.085],"[-0.515, 0.02500000000000002]",False,[50.0],1,0.5
"[-0.515, 0.04499999999999998]",[-0.8650000000000001],[0.995],"[-0.505, 0.07500000000000001]",False,[50.0],1,0.16666666666666666
"[-0.505, 0.07500000000000001]",[-0.9150000000000001],[0.945],"[-0.495, 0.09499999999999997]",False,[50.0],1,1.0
