StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[9, 20]",[158],[143],"[6, 19]",[False],[0],"[0.0043222175000000255, 0.007223965000000006]",[0.0002627100000001485],[0.0026495170593260533],"[0.004437682499999814, 0.005217427500000009]",[0.0],3,1.0
"[6, 19]",[149],[146],"[3, 18]",[False],[0],"[0.00736246499999987, 0.004773775000000006]",[0.006721729999999941],[0.00048216819763184995],"[0.005597315000000073, 0.004855715000000028]",[0.0],2,0.6666666666666666
"[3, 18]",[158],[148],"[0, 17]",[False],[0],"[0.005597315000000073, 0.004855715000000028]",[0.009347450000000184],[0.00494954109191887],"[0.002121765000000053, 0.002622009999999989]",[0.0],2,1.0
"[0, 17]",[143],[128],"[0, 19]",[True],[1],"[0.002121765000000053, 0.002622009999999989]",[0.0002627100000000184],[0.005462093353271413],"[0.0, 0.008242169999999991]",[0.0],2,1.0
"[46, 31]",[113],[115],"[44, 31]",[False],[0],"[0.0013852999999999886, 0.00439496500000002]",[0.007639060000000123],[0.005824136734008721],"[0.009238295, 0.003453955]",[0.0],2,0.08
"[44, 31]",[125],[116],"[43, 31]",[False],[0],"[0.009512449999999999, 0.005688740000000017]",[0.00395113000000011],[0.007343425750732442],"[0.007417350000000029, 0.0018400099999999944]",[0.0],1,0.05555555555555555
"[43, 31]",[94],[117],"[42, 31]",[False],[0],"[0.007746202500000061, 0.001405805000000029]",[0.0017499725000001236],[0.0070236253738403965],"[0.005382130000000016, 0.0053620349999999786]",[0.0],3,0.25
"[42, 31]",[122],[116],"[41, 30]",[False],[0],"[0.005036810000000034, 0.0008267599999999733]",[0.009122664999999978],[0.00537733078002945],"[0.002196900000000024, 0.007598664999999987]",[0.0],2,0.13333333333333333
"[37, 30]",[119],[117],"[35, 30]",[False],[0],"[0.0017279199999999818, 0.004346785000000002]",[0.002161755000000076],[0.006489162445068379],"[0.007900479999999958, 0.0020427649999999846]",[0.0],2,0.5
"[34, 29]",[126],[120],"[32, 29]",[False],[0],"[0.0022570500000000555, 0.009062270000000013]",[0.0015720900000000086],[0.0009774208068848295],"[0.007491550000000069, 0.00502298000000004]",[0.0],1,0.25
"[32, 29]",[118],[120],"[31, 29]",[False],[0],"[0.007491550000000069, 0.00502298000000004]",[0.004269900000000073],[0.005190944671630879],"[0.0021829000000000345, 0.002916249999999983]",[0.0],1,0.3333333333333333
"[31, 29]",[133],[121],"[29, 28]",[False],[0],"[0.0021829000000000345, 0.002916249999999983]",[0.004116280000000127],[0.006896820068359394],"[0.006337330000000059, 0.007063370000000034]",[0.0],1,0.3333333333333333
"[29, 28]",[123],[122],"[27, 28]",[False],[0],"[0.006337330000000059, 0.007063370000000034]",[0.006424509999999951],[0.003717975616455097],"[0.009685500000000026, 0.0036527400000000085]",[0.0],1,0.5
"[27, 28]",[132],[123],"[26, 27]",[False],[0],"[0.009685500000000026, 0.0036527400000000085]",[0.0081358300000001],[0.005124778747558524],"[0.002365840000000067, 0.007949349999999978]",[0.0],1,0.5
"[26, 27]",[141],[124],"[24, 26]",[False],[0],"[0.005356919999999991, 0.004973885000000023]",[0.0038788049999999314],[0.001069650650024477],"[0.006534220000000021, 0.007126899999999995]",[0.0],2,0.6666666666666666
"[24, 26]",[141],[126],"[22, 26]",[False],[0],"[0.003991040000000043, 0.009574120000000023]",[0.0012390600000001823],[0.007437171936035086],"[0.0043079, 0.0017930900000000007]",[0.0],1,0.5
"[22, 26]",[152],[128],"[20, 25]",[False],[0],"[0.0043079, 0.0017930900000000007]",[0.006926890000000116],[0.008783550262451145],"[0.0032255000000000547, 0.001119929999999986]",[0.0],1,0.5
"[20, 25]",[163],[131],"[18, 23]",[False],[0],"[0.0032255000000000547, 0.001119929999999986]",[0.009718830000000038],[0.005769481658935564],"[0.0002850999999999722, 0.007626980000000011]",[0.0],1,0.5
"[18, 23]",[151],[133],"[15, 22]",[False],[0],"[0.0002850999999999722, 0.007626980000000011]",[0.006243580000000004],[0.006581707000732394],"[0.005350500000000055, 0.007220849999999997]",[0.0],1,1.0
