State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.0073825699999999755, -0.0026823899999999998]",[0.69001355],[1.1784029960632325],"[-0.00873178000000002, -0.01993275]",False,[0.0],1,0.14285714285714285
"[-0.00873178000000002, -0.01993275]",[0.6761719800000001],[1.2122116088867188],"[-0.012822569999999985, -0.0368371]",False,[0.0],1,0.07692307692307693
"[-0.012822569999999985, -0.0368371]",[0.6178832600000002],[1.2431057929992677],"[-0.019540430000000004, -0.05228412]",False,[0.0],1,1.0
"[-0.09998208000000006, -0.10335094]",[-0.11899723000000001],[1.3392893791198732],"[-0.11635952999999997, -0.10037595]",False,[0.0],1,0.25
"[-0.11679315499999997, -0.08634079750000001]",[0.13520601500000012],[1.288870906829834],"[-0.130787955, -0.0897209325]",False,[0.0],3,0.75
"[-0.14740539000000003, -0.090792]",[-0.2986655],[1.3051881790161133],"[-0.16153389000000004, -0.08332539]",False,[0.0],1,0.25
"[-0.1842098425, -0.04652323171875]",[0.6460031579687502],[1.1929552838206292],"[-0.19251492312500001, -0.06267329046875]",False,[0.0],7,0.875
"[-0.19407034, -0.04628104]",[-0.56510658],[1.2028442382812503],"[-0.2007218, -0.03215343]",False,[0.0],1,0.09090909090909091
"[-0.2007218, -0.03215343]",[-0.59884413],[1.172902011871338],"[-0.20506786999999999, -0.01718223]",False,[0.0],1,0.25
"[-0.20506786999999999, -0.01718223]",[-0.54310585],[1.1457468032836915],"[-0.20709287999999998, -0.003604589999999998]",False,[0.0],1,0.3333333333333333
"[-0.20273081375000002, -0.001428588437500003]",[-0.10764527515625001],[1.1219413861632348],"[-0.20281584890624998, 0.001262509339843754]",False,[0.0],7,0.22580645161290322
"[-0.20365976624999999, 0.009299711250000004]",[-0.09489234125000001],[1.0990130901336668],"[-0.20204527374999998, 0.011672021249999994]",False,[0.0],4,0.041666666666666664
"[-0.20503944000000002, 0.019321799999999997]",[-0.36733004],[1.0815274238586425],"[-0.20145821999999997, 0.028505090000000004]",False,[0.0],1,0.017543859649122806
"[-0.20145821999999997, 0.028505090000000004]",[-0.35488146],[1.0637833595275878],"[-0.19642419, 0.03737712]",False,[0.0],1,0.09090909090909091
"[-0.19642419, 0.03737712]",[-0.14864082],[1.0563512802124024],"[-0.19024568999999997, 0.041093109999999995]",False,[0.0],1,0.16666666666666666
"[-0.19145194, 0.04527318499999999]",[0.05869049000000008],[1.031425142288208],"[-0.18428645, 0.04380589999999999]",False,[0.0],2,1.0
"[-0.18340445, 0.04608667]",[-0.20667495],[1.036030387878418],"[-0.17575502, 0.05125355999999999]",False,[0.0],1,0.5
"[-0.4272098225000001, -0.014652083125000001]",[-0.791210615],[1.1208711683750152],"[-0.4285035600000001, 0.005046710625000001]",False,[0.0],5,0.12195121951219512
